,RP
2010-01-04,9998.0
2010-01-05,10010.314946951536
2010-01-06,10006.88778163307
2010-01-07,10001.972033256496
2010-01-08,9996.900168636625
2010-01-11,10006.166235591116
2010-01-12,10010.041068271215
2010-01-13,9983.320061832579
2010-01-14,9995.634536172869
2010-01-15,10000.117279034515
2010-01-18,10005.264207738694
2010-01-19,10010.209690635003
2010-01-20,10007.695060154765
2010-01-21,10009.545333581978
2010-01-22,10011.23443012567
2010-01-25,10013.146360823137
2010-01-26,10010.197363917267
2010-01-27,10007.135575220917
2010-01-28,10007.844962185303
2010-01-29,10008.56990062786
2010-02-01,10012.650523323086
2010-02-02,10025.421124895745
2010-02-03,10045.63243971633
2010-02-04,10038.305164909125
2010-02-05,10027.833895548312
2010-02-08,10035.233321653719
2010-02-09,10045.007272630686
2010-02-10,10053.483232812061
2010-02-11,10057.178418824758
2010-02-12,10064.719754578988
2010-02-22,10070.098273091735
2010-02-23,10062.937775618508
2010-02-24,10069.29693230729
2010-02-25,10082.122288216311
2010-02-26,10113.725677151126
2010-03-01,10131.524376744295
2010-03-02,10134.76873669567
2010-03-03,10154.083720768307
2010-03-04,10143.000618123298
2010-03-05,10151.521047933418
2010-03-08,10164.282165251501
2010-03-09,10162.884655056676
2010-03-10,10169.27293879534
2010-03-11,10164.66207677163
2010-03-12,10163.389869345816
2010-03-15,10159.940306011942
2010-03-16,10167.098350646163
2010-03-17,10185.527632300738
2010-03-18,10187.712250588505
2010-03-19,10193.367888386123
2010-03-22,10188.55064716961
2010-03-23,10185.549756127004
2010-03-24,10190.110937641237
2010-03-25,10182.430644159665
2010-03-26,10184.90883217291
2010-03-29,10194.205745007415
2010-03-30,10190.579887851778
2010-03-31,10193.29674416349
2010-04-01,10198.854523597915
2010-04-02,10203.045401109172
2010-04-06,10208.01110446583
2010-04-07,10200.073448241417
2010-04-08,10188.704401984345
2010-04-09,10196.459746596835
2010-04-12,10198.671863240621
2010-04-13,10207.153521952067
2010-04-14,10209.228681100129
2010-04-15,10211.855074259012
2010-04-16,10210.52342665683
2010-04-19,10202.020276333378
2010-04-20,10211.344705489744
2010-04-21,10221.27160407776
2010-04-22,10221.208482848753
2010-04-23,10227.802570362892
2010-04-26,10238.414494777538
2010-04-27,10234.714952247261
2010-04-28,10240.044619355027
2010-04-29,10241.098231297237
2010-04-30,10247.263485005093
2010-05-04,10240.758284957294
2010-05-05,10239.693226660529
2010-05-06,10230.004285311416
2010-05-07,10248.424583410397
2010-05-10,10253.215582386852
2010-05-11,10250.619682460256
2010-05-12,10265.655952108767
2010-05-13,10279.584068860639
2010-05-14,10277.965786922667
2010-05-17,10272.892047161036
2010-05-18,10286.56840953964
2010-05-19,10300.077197884915
2010-05-20,10287.982555448512
2010-05-21,10293.644591775528
2010-05-24,10303.450832659002
2010-05-25,10297.30028047859
2010-05-26,10303.528535106623
2010-05-27,10306.646675271199
2010-05-28,10305.072593703853
2010-05-31,10298.489898380683
2010-06-01,10289.803493137564
2010-06-02,10293.56511378024
2010-06-03,10298.964882485843
2010-06-04,10298.174135490486
2010-06-07,10301.531852071124
2010-06-08,10305.908078740817
2010-06-09,10313.578650653697
2010-06-10,10306.256135949061
2010-06-11,10300.37209071635
2010-06-17,10308.43440995161
2010-06-18,10286.777522878256
2010-06-21,10301.039992126141
2010-06-22,10300.549022548223
2010-06-23,10297.119147413621
2010-06-24,10293.969101357341
2010-06-25,10297.491475871075
2010-06-28,10308.888645093537
2010-06-29,10298.910731288124
2010-06-30,10303.738747024396
2010-07-01,10304.27549761277
2010-07-02,10301.066625517016
2010-07-05,10304.767373243958
2010-07-06,10325.084364740764
2010-07-07,10327.793294920004
2010-07-08,10333.89041861296
2010-07-09,10342.206774623653
2010-07-12,10353.28185097099
2010-07-13,10360.724178302073
2010-07-14,10374.562375085348
2010-07-15,10372.964153522958
2010-07-16,10378.243662486604
2010-07-19,10388.251848336695
2010-07-20,10394.964117084524
2010-07-21,10397.57038400196
2010-07-22,10401.66948711847
2010-07-23,10403.75813910557
2010-07-26,10402.768669152043
2010-07-27,10396.596432364748
2010-07-28,10398.721125577622
2010-07-29,10404.487675828534
2010-07-30,10402.194991748576
2010-08-02,10412.74969342226
2010-08-03,10406.20544886714
2010-08-04,10413.804534757377
2010-08-05,10413.022266569986
2010-08-06,10421.21397728376
2010-08-09,10429.284344763686
2010-08-10,10420.019163222965
2010-08-11,10426.214637010431
2010-08-12,10434.88493103697
2010-08-13,10448.586599715636
2010-08-16,10460.46909776127
2010-08-17,10464.662523130792
2010-08-18,10464.633644215675
2010-08-19,10471.74834794175
2010-08-20,10468.999346685683
2010-08-23,10472.600611136786
2010-08-24,10474.578317172269
2010-08-25,10470.688703899325
2010-08-26,10471.246414903364
2010-08-27,10469.666804650384
2010-08-30,10501.05516136487
2010-08-31,10497.301989315374
2010-09-01,10499.693682857911
2010-09-02,10505.640808632694
2010-09-03,10506.027392264788
2010-09-06,10514.140533823333
2010-09-07,10508.169044931281
2010-09-08,10508.891801906546
2010-09-09,10497.434021141884
2010-09-10,10489.549603068981
2010-09-13,10485.863156142292
2010-09-14,10485.381657987842
2010-09-15,10479.866601804899
2010-09-16,10469.309279344123
2010-09-17,10471.312647615587
2010-09-20,10471.742564599523
2010-09-21,10468.840326490395
2010-09-27,10477.47890915688
2010-09-28,10471.850036199034
2010-09-29,10476.07494987644
2010-09-30,10487.104012951142
2010-10-08,10511.437132258303
2010-10-11,10518.005501633275
2010-10-12,10519.655440147653
2010-10-13,10526.968210258396
2010-10-14,10533.81371528469
2010-10-15,10546.689850933119
2010-10-18,10543.691700551219
2010-10-19,10551.645981334808
2010-10-20,10474.993966885937
2010-10-21,10452.143831588231
2010-10-22,10449.668620502023
2010-10-25,10468.270390446778
2010-10-26,10449.544654823438
2010-10-27,10436.144533771823
2010-10-28,10436.208550784537
2010-10-29,10435.586256562734
2010-11-01,10450.423958553927
2010-11-02,10435.395285637358
2010-11-03,10407.375650478032
2010-11-04,10400.637247250726
2010-11-05,10407.524827064053
2010-11-08,10408.327598504668
2010-11-09,10404.664345165354
2010-11-10,10370.494027184975
2010-11-11,10358.393899604922
2010-11-12,10319.800289131943
2010-11-15,10313.398053952913
2010-11-16,10295.088458899834
2010-11-17,10289.812532631033
2010-11-18,10305.815438974294
2010-11-19,10298.71170231619
2010-11-22,10276.285609199467
2010-11-23,10257.056920327906
2010-11-24,10256.053615804922
2010-11-25,10253.360516129493
2010-11-26,10237.307356910433
2010-11-29,10240.720539242435
2010-11-30,10235.875769274979
2010-12-01,10255.444688941423
2010-12-02,10265.59996146093
2010-12-03,10266.289590492932
2010-12-06,10282.921188821767
2010-12-07,10298.788525675907
2010-12-08,10286.821925214825
2010-12-09,10275.371359526762
2010-12-10,10284.978609918797
2010-12-13,10306.785964567156
2010-12-14,10308.580172715487
2010-12-15,10310.021132615257
2010-12-16,10309.862773933599
2010-12-17,10310.81180177553
2010-12-20,10313.229603222144
2010-12-21,10325.792273298892
2010-12-22,10321.256801331649
2010-12-23,10315.20338851069
2010-12-24,10312.450240604567
2010-12-27,10280.076543969484
2010-12-28,10269.218360209077
2010-12-29,10278.051333369582
2010-12-30,10285.165751303372
2010-12-31,10302.371163766731
